Date,G
1609.267016,0
1609.659686,0.980842912
1610.052356,2.134099617
1610.575916,3.904214559
1611.099476,6.318007663
1611.884817,8.83908046
1612.277487,9.697318008
1613.193717,10.42145594
1613.848168,9.938697318
1614.502618,9.482758621
1615.026178,8.946360153
1615.287958,8.329501916
1615.811518,7.498084291
1616.335079,6.45210728
1616.858639,5.406130268
1617.251309,4.440613027
1617.774869,3.475095785
1618.298429,2.536398467
1618.95288,1.75862069
1619.34555,1.222222222
1620.13089,0.685823755
1620.65445,1.67816092
1621.308901,3.689655172
1621.832461,6.559386973
1622.225131,8.275862069
1622.748691,9.697318008
1623.664921,10.42145594
1623.664921,10.42145594
1624.319372,9.911877395
1625.759162,9.08045977
1626.151832,8.356321839
1626.544503,7.471264368
1626.937173,6.559386973
1627.329843,5.647509579
1627.722513,4.62835249
1628.246073,3.475095785
1628.900524,2.402298851
1629.685864,1.490421456
1629.947644,1.195402299
1630.732984,0.739463602
1631.256545,1.597701149
1631.518325,2.455938697
1631.910995,3.528735632
1632.565445,4.950191571
1633.089005,6.076628352
1633.481675,7.337164751
1634.005236,8.570881226
1634.136126,9.16091954
1635.183246,9.965517241
1635.837696,9.32183908
1636.492147,8.463601533
1637.015707,7.068965517
1637.670157,5.352490421
1638.324607,3.877394636
1638.979058,2.590038314
1639.633508,1.624521073
1640.026178,1.168582375
1640.549738,0.846743295
1641.073298,2.026819923
1641.335079,3.126436782
1641.727749,4.494252874
1642.382199,6.53256705
1642.905759,7.685823755
1643.036649,8.088122605
1644.08377,8.704980843
1645,7.954022989
1645.52356,6.881226054
1646.04712,5.996168582
1646.570681,4.977011494
1646.963351,4.199233716
1647.356021,3.421455939
1648.010471,2.455938697
1648.795812,1.570881226
1649.712042,0.900383142
1650.366492,0.578544061
1651.151832,1.490421456
1651.544503,2.590038314
1652.198953,3.931034483
1652.853403,5.191570881
1653.246073,5.862068966
1653.638743,6.344827586
1654.816754,6.827586207
1656.125654,6.183908046
1656.780105,5.298850575
1657.434555,4.440613027
1658.219895,3.582375479
1659.136126,2.563218391
1659.659686,1.973180077
1660.183246,1.570881226
1660.706806,2.509578544
1661.099476,3.582375479
1661.492147,4.762452107
1661.884817,5.727969349
1662.277487,6.720306513
1662.801047,7.712643678
1662.931937,8.007662835
1663.848168,8.517241379
1664.371728,8.785440613
1665.287958,8.114942529
1665.942408,7.337164751
1666.727749,6.398467433
1667.382199,5.272030651
1667.905759,4.22605364
1668.560209,3.340996169
1669.21466,2.536398467
1670,1.624521073
1670.78534,1.007662835
1671.308901,0.685823755
1672.094241,0.417624521
1672.748691,1.168582375
1673.403141,1.865900383
1674.057592,2.295019157
1674.450262,2.536398467
1675.628272,2.750957854
1676.675393,2.455938697
1677.853403,1.865900383
1678.900524,1.222222222
1679.685864,0.685823755
1681.387435,0.229885057
1681.910995,0.793103448
1682.696335,1.67816092
1683.089005,2.32183908
1683.612565,2.831417625
1684.136126,3.260536398
1685.052356,3.528735632
1686.099476,3.180076628
1687.015707,2.536398467
1687.931937,1.75862069
1688.717277,1.195402299
1689.502618,0.712643678
1690.157068,0.417624521
1691.073298,0.203065134
1691.727749,0.632183908
1692.120419,1.141762452
1692.513089,1.731800766
1693.167539,2.214559387
1693.560209,2.536398467
1694.60733,2.750957854
1695.52356,2.482758621
1696.439791,1.812260536
1697.486911,1.195402299
1698.534031,0.578544061
1699.319372,0.283524904
1700.104712,0.149425287
1700.759162,0.042145594
1701.282723,0.578544061
1701.282723,0.578544061
1701.282723,0.578544061
1701.806283,1.409961686
1702.068063,2.214559387
1702.460733,3.072796935
1702.722513,3.931034483
1703.246073,4.789272031
1703.769634,5.540229885
1704.685864,6.022988506
1705.732984,5.459770115
1706.518325,4.252873563
1707.172775,3.448275862
1707.827225,2.402298851
1708.612565,1.651340996
1708.612565,1.651340996
1709.528796,0.793103448
1710.445026,0.337164751
1711.492147,0.122605364
1712.931937,0.01532567
1713.324607,0.846743295
1713.717277,1.597701149
1714.109948,2.32183908
1714.371728,3.260536398
1714.633508,4.38697318
1715.026178,5.808429119
1715.811518,7.873563218
1716.335079,9
1717.382199,9.724137931
1718.298429,9.107279693
1718.691099,8.785440613
1719.47644,7.363984674
1720,6.103448276
1720.52356,5.137931034
1721.439791,3.582375479
1722.225131,2.429118774
1723.141361,1.302681992
1724.319372,0.551724138
1725.497382,0.149425287
1726.937173,0
