Year,G,S,Obs
1841.5,2.203,0.033,550
1842.5,1.56,0.012,602
1843.5,0.677,0.007,619
1844.5,0.982,0.009,612
1845.5,2.471,0.035,626
1846.5,3.606,0.035,627
1847.5,4.876,0.052,696
1848.5,7.118,0.052,800
1849.5,6.904,0.052,926
1850.5,4.541,0.04,1016
1851.5,4.788,0.031,830
1852.5,4.118,0.026,895
1853.5,2.945,0.015,777
1854.5,1.426,0.019,1012
1855.5,0.37,0.013,1126
1856.5,0.254,0.006,1033
1857.5,1.444,0.023,1126
1858.5,3.685,0.036,857
1859.5,6.261,0.058,894
1860.5,7.093,0.053,1867
1861.5,5.849,0.053,1984
1862.5,4.178,0.034,1713
1863.5,3.383,0.033,1820
1864.5,2.853,0.027,1964
1865.5,1.864,0.022,1773
1866.5,1.129,0.011,1837
1867.5,0.516,0.008,1406
1868.5,2.394,0.027,1446
1869.5,5.16,0.039,1333
1870.5,7.968,0.053,1589
1871.5,7.182,0.052,1802
1872.5,6.632,0.043,1555
1873.5,4.269,0.031,1961
1874.5,2.891,0.026,2583
1875.5,1.28,0.017,2573
1876.5,0.755,0.011,3137
1877.5,0.701,0.008,3536
1878.5,0.218,0.006,4190
1879.5,0.362,0.007,3792
1880.5,2.053,0.02,3263
1881.5,3.741,0.032,2982
1882.5,3.95,0.032,3420
1883.5,4.533,0.039,3269
1884.5,5.108,0.044,2741
1885.5,3.909,0.034,2860
1886.5,1.871,0.02,2908
1887.5,1.054,0.016,2479
1888.5,0.627,0.012,3209
1889.5,0.482,0.008,3901
1890.5,0.65,0.013,4023
1891.5,3.226,0.032,3247
1892.5,5.657,0.041,2943
1893.5,7.291,0.064,2950
1894.5,7.278,0.054,2184
1895.5,5.715,0.043,2853
1896.5,3.281,0.03,2565
1897.5,2.533,0.025,2540
1898.5,2.151,0.024,3064
1899.5,1.018,0.014,3151
1900.5,0.753,0.013,3713
1901.5,0.205,0.006,3956
1902.5,0.315,0.007,3548
1903.5,2.001,0.022,2950
1904.5,3.763,0.028,2508
1905.5,5.035,0.034,2452
1906.5,4.667,0.035,3032
1907.5,5.063,0.034,2981
1908.5,4.389,0.034,3450
1909.5,3.846,0.03,3333
1910.5,1.778,0.019,2836
1911.5,0.703,0.012,2766
1912.5,0.298,0.006,3100
1913.5,0.133,0.005,3329
1914.5,1.028,0.012,2577
1915.5,4.183,0.031,1525
1916.5,5.547,0.034,1498
1917.5,9.137,0.054,1611
1918.5,7.399,0.043,1531
1919.5,5.925,0.034,1330
1920.5,3.598,0.023,1200
1921.5,2.369,0.018,1454
1922.5,1.304,0.013,1602
1923.5,0.568,0.008,2021
1924.5,1.51,0.013,1823
1925.5,4.246,0.025,1636
1926.5,5.857,0.031,1320
1927.5,6.396,0.031,1353
1928.5,6.814,0.034,1846
1929.5,6.161,0.032,1808
1930.5,3.649,0.023,1898
1931.5,2.138,0.016,1911
1932.5,1.119,0.011,2036
1933.5,0.486,0.006,2424
1934.5,0.865,0.008,2207
1935.5,3.556,0.021,2097
1936.5,7.351,0.038,2039
1937.5,9.971,0.044,1993
1938.5,9.411,0.047,1763
1939.5,8.052,0.033,1414
1940.5,5.934,0.03,1640
1941.5,4.129,0.025,2076
1942.5,2.699,0.019,2272
1943.5,1.281,0.012,2408
1944.5,0.896,0.012,2581
1945.5,3.098,0.025,1732
1946.5,7.885,0.04,1845
1947.5,12.005,0.055,1995
1948.5,10.559,0.052,1890
1949.5,10.679,0.047,2024
1950.5,6.291,0.033,2107
1951.5,4.823,0.03,2067
1952.5,2.457,0.019,2098
1953.5,1.127,0.013,2738
1954.5,0.369,0.009,2833
1955.5,3.157,0.021,1686
1956.5,10.442,0.048,1836
1957.5,13.757,0.054,1452
1958.5,14.512,0.054,1577
1959.5,12.387,0.053,1358
1960.5,8.595,0.041,1409
1961.5,4.066,0.027,1520
1962.5,2.591,0.026,1769
1963.5,2.023,0.022,1967
1964.5,0.845,0.013,2500
1965.5,1.203,0.014,2271
1966.5,3.635,0.024,1979
1967.5,7.934,0.049,2097
1968.5,8.129,0.041,2214
1969.5,7.947,0.043,1915
1970.5,8.968,0.048,1903
1971.5,6.081,0.033,1938
1972.5,5.955,0.037,1905
1973.5,3.235,0.024,1751
1974.5,2.824,0.024,1888
1975.5,1.252,0.016,1825
1976.5,1.122,0.013,1553
1977.5,2.498,0.021,1747
1978.5,8.489,0.055,1637
1979.5,12.9,0.061,1611
1980.5,11.696,0.053,1621
1981.5,11.677,0.062,1676
1982.5,9.611,0.048,1884
1983.5,5.94,0.04,1870
1984.5,3.64,0.027,1819
1985.5,1.402,0.016,1730
1986.5,1.004,0.011,1759
1987.5,2.295,0.02,1667
1988.5,7.4,0.054,1447
1989.5,12.233,0.065,1353
1990.5,12.31,0.074,1218
1991.5,12.085,0.058,1152
1992.5,7.939,0.043,932
1993.5,4.452,0.023,714
1994.5,2.952,0.023,719
1995.5,1.566,0.01,448
