Year,Month,Day,Hour,Minute,T,CMD,Lat
1612,1,30,10,30,1,27.2,10.2
1612,1,30,10,30,1,-45,-0.1
1612,2,2,10,45,1,-48.6,20.8
1612,2,2,10,45,1,-42.1,19.6
1612,2,2,10,45,1,5.9,-22.4
1612,2,2,10,45,1,10.2,-17.3
1612,2,2,10,45,1,13.5,-18
1612,2,2,10,45,1,33,-27.7
1612,2,2,10,45,1,49.8,11.9
1612,2,2,10,45,1,0.4,-7.6
1612,2,5,8,0,1,-11.7,17.2
1612,2,5,8,0,1,-5.8,16.5
1612,2,5,8,0,1,31.8,-21.8
1612,2,5,8,0,1,35.7,-17.4
1612,2,5,8,0,1,41,-15.9
1612,2,5,8,0,1,68.6,-29.2
1612,2,5,8,0,1,-9.6,-17.3
1612,2,5,8,0,1,-12,-17.2
1612,2,5,8,0,1,41.9,-14.9
1612,2,5,8,0,1,40.3,-14.2
1612,2,5,8,0,1,40.9,-14.6
1612,2,5,8,0,1,42.4,-15.9
1612,2,5,8,0,1,34.3,-17.3
1612,2,6,7,45,1,1.7,12.2
1612,2,6,7,45,1,6.3,12.4
1612,2,6,7,45,1,42.5,-22.4
1612,2,6,7,45,1,45.8,-15.5
1612,2,6,7,45,1,50.6,-14.2
1612,2,6,7,45,1,-55,24.3
1612,2,6,7,45,1,-52.2,22.6
1612,2,6,7,45,1,-55.4,22.5
1612,2,6,7,45,1,-61.6,21.7
1612,2,6,7,45,1,-65.5,25.4
1612,2,6,7,45,1,-63.3,22.2
1612,2,6,7,45,1,-61.5,24.3
1612,2,6,7,45,1,-65.8,23.3
1612,2,6,7,45,1,-64.1,23.8
1612,2,6,7,45,1,-60.8,22.9
1612,2,6,7,45,1,48.5,-12.5
1612,2,6,7,45,1,49.9,-12.6
1612,2,10,8,30,1,-42.6,-20.6
1612,2,10,8,30,1,-39.5,14.6
1612,2,10,8,30,1,-2.4,18.9
1612,2,10,8,30,1,2.5,19.3
1612,2,10,8,30,1,-62.7,10.9
1612,2,10,8,30,1,64.1,12
1612,2,10,8,30,1,56.1,10.9
1612,2,12,9,0,1,-19.2,-20.9
1612,2,12,9,0,1,-12.1,19
1612,2,12,9,0,1,23.7,17.8
1612,2,12,9,0,1,28.9,17.6
1612,2,12,9,0,1,24.9,17.8
1612,2,13,14,45,1,-11.1,-21.1
1612,2,13,14,45,1,5.5,16.8
1612,2,14,7,30,1,5.7,-21.7
1612,2,14,7,30,1,19.4,17.1
1612,2,14,7,30,1,-69.7,22.8
1612,2,14,7,30,1,-69.1,20.9
1612,2,22,7,30,1,-52,5.7
1612,2,22,7,30,1,-35.8,16.6
1612,2,22,7,30,1,-10.2,24.5
1612,2,22,7,30,1,33,17.3
1612,2,22,7,30,1,-36.2,8.5
1612,2,22,7,30,1,-6.8,9.7
1612,2,22,7,30,1,-5.3,10.4
1612,2,22,7,30,1,-11.3,14.3
1612,2,22,7,30,1,-11.8,12.1
1612,2,24,7,30,1,-35.3,10.5
1612,2,24,7,30,1,-13.4,18.9
1612,2,24,7,30,1,11.4,25.1
1612,2,24,7,30,1,52.7,12.6
1612,2,24,7,30,1,53.5,15.2
1612,2,24,7,30,1,8.6,26.2
1612,2,24,7,30,1,17.8,4.6
1612,2,24,7,30,1,17.5,10.2
1612,2,24,7,30,1,-55.5,-20.6
1612,2,24,7,30,1,-55.5,-19.3
1612,2,24,7,30,1,-52.8,-19.5
1612,2,24,7,30,1,-14.6,11.8
1612,2,24,7,30,1,-68.4,-0.6
1612,2,24,7,30,1,-69.8,1.2
1612,2,24,7,30,1,-26.3,22.5
1612,2,24,7,30,1,-21,21.1
1612,2,24,7,30,1,11.3,10.8
1612,2,24,7,30,1,10.2,11.3
1612,2,24,7,30,1,15.6,19
1612,2,24,7,30,1,14.6,19.3
1612,2,24,7,30,1,-16.2,19.7
1612,2,25,7,15,1,-19.6,10.1
1612,2,25,7,15,1,0.8,16.8
1612,2,25,7,15,1,23.1,23.5
1612,2,25,7,15,1,66.6,13.6
1612,2,25,7,15,1,21.2,24.2
1612,2,25,7,15,1,28.5,7.6
1612,2,25,7,15,1,27.7,11.1
1612,2,25,7,15,1,21.8,11.5
1612,2,25,7,15,1,-1.9,8.8
1612,2,25,7,15,1,-41.8,-20.4
1612,2,25,7,15,1,-43.8,-20.5
1612,2,25,7,15,1,-58.1,-5.1
1612,2,25,7,15,1,-57.4,-3.2
1612,2,25,7,15,1,-62.7,23.9
1612,2,25,7,15,1,-8.2,18.7
1612,2,25,7,15,1,-9.4,19.9
1612,2,25,7,15,1,-15.2,21.7
1612,2,25,7,15,1,-16.5,23.2
1612,2,25,7,15,1,-16.7,24
1612,2,26,7,15,1,-47.7,18.2
1612,2,26,7,15,1,-41.9,-9.4
1612,2,26,7,15,1,11.1,16.8
1612,2,26,7,15,1,35.9,24.5
1612,2,26,7,15,1,32.3,23.2
1612,2,26,7,15,1,32.9,25
1612,2,26,7,15,1,-46.3,20.1
1612,2,26,7,15,1,-7.3,9.5
1612,2,26,7,15,1,-27.4,-23.1
1612,2,26,7,15,1,-25.3,-21.6
1612,2,26,7,15,1,-24.4,-22.1
1612,2,26,7,15,1,-27,-21.5
1612,2,26,7,15,1,-26.7,-22.3
1612,2,26,7,15,1,-3.9,22.3
1612,2,26,7,15,1,-3.3,20.3
1612,2,26,7,15,1,7,18.5
1612,2,26,7,15,1,7.2,16.4
1612,2,26,7,15,1,5.5,18.4
1612,2,26,7,15,1,1.9,19.4
1612,2,26,7,15,1,3,20.4
1612,2,26,7,15,1,1.7,17.7
1612,2,26,7,15,1,3.6,18.4
1612,2,26,7,15,1,-1.7,21
1612,2,26,7,15,1,-2.2,21.5
1612,2,27,7,0,1,-35.9,20
1612,2,27,7,0,1,-26.3,-9.2
1612,2,27,7,0,1,20.1,15.1
1612,2,27,7,0,1,43.3,21.1
1612,2,27,7,0,1,-31.1,-11.5
1612,2,27,7,0,1,1.3,9.3
1612,2,27,7,0,1,5.7,20
1612,2,27,7,0,1,12.4,18.1
1612,2,27,7,0,1,22.2,18.5
1612,2,27,7,0,1,18.7,18.8
1612,2,28,7,0,1,-22,19.8
1612,2,28,7,0,1,-13.8,-8.1
1612,2,28,7,0,1,33.6,16.5
1612,2,28,7,0,1,57.8,22.4
1612,2,28,7,0,1,37.8,13.6
1612,2,28,7,0,1,33,12.7
1612,2,28,7,0,1,34.3,12.9
1612,2,28,7,0,1,30.1,18.9
1612,2,28,7,0,1,29.2,17.6
1612,2,28,7,0,1,30.1,18.2
1612,2,28,7,0,1,-21.4,-10.8
1612,2,28,7,0,1,-17.9,-9.9
1612,3,11,7,30,1,-70.2,3.7
1612,3,11,7,30,1,-53.1,17.5
1612,3,11,7,30,1,-48.3,17.1
1612,3,11,7,30,1,-20.3,11.5
1612,3,11,7,30,1,-17,11.3
1612,3,11,7,30,1,39.9,30.1
1612,3,11,7,30,1,45.1,28.7
1612,3,12,9,45,1,-53.7,2.9
1612,3,12,9,45,1,-38.9,17.8
1612,3,12,9,45,1,-35.3,18.8
1612,3,12,9,45,1,-8.9,11.7
1612,3,12,9,45,1,-5,12.2
1612,3,12,9,45,1,57,28.5
1612,3,12,9,45,1,63.9,28
