STATION,INITIAL,FINAL,TOT.OBS,OBSERVER
235,1794,1800,23,"ENDE, F.A., CELLE"
236,1794,1818,384,"HERSCHEL, W., LONDON"
237,NaN,NaN,0,"FLAUGERGUES, H. (C.DE.T.)"
238,1797,1797,3,"GEMEINER, A.T., REGENSBURG"
239,1797,1797,1,"REINCKE, HAMBURG"
240,NaN,NaN,0,"HAMILTON, J., ARMAGH OBS., IRELAND"
241,1798,1798,3,"DANGOS, MALTA"
242,1798,1812,129,"FRITSCH, J.H., GERMANY"
243,1798,1798,5,"KOHLER, J.G., GERMANY"
244,NaN,NaN,0,"FLAUGERGUES, H. (C.DE T.)"
245,1800,1827,519,"LINDENER, B.A., GLATZ"
246,1802,1824,789,"DERFFLINGER, T., KREMSMUNSTER"
247,1803,1803,1,"BEDE, WIEN"
248,1803,1803,1,"CHIMINELLO, PADUA"
249,1804,1804,1,"SCHUBERT, F.T., ST. PETERSBURG"
250,1804,1844,115,"PRANTNER, S.M.J., WILTEN"
251,1804,1804,1,"CASSELLA, MADRID"
252,1806,1810,284,"BUGGE, M., COPENHAGEN"
253,1821,1844,101,"GRUITHUISEN, B., MUNICH"
254,NaN,NaN,0,"STARK, AUGSBURG, ZERO DAYS"
255,1826,1836,1075,"STARK, J.M., AUGSBURG"
256,1814,1814,17,"GAUSS, H. FR., GOTTINGEN"
257,1815,1816,6,"EYNARD, ROLLE"
258,1816,1836,858,"TEVEL, C., MIDDELBURG"
259,1816,1829,21,"ESMARK, KONGSBERG"
260,1816,1818,83,"WATTS, CAPE DIAMOND, QUEBEC"
261,1817,1817,5,"BIANCHI, G., MODENA"
262,1819,1823,977,"ADAMS, C.H., EDMONTON"
263,1819,1833,1477,"PASTORFF, J.W., DROSSEN"
264,NaN,NaN,0,"PASTORFF-WOLF, DROSSEN"
265,1816,1819,47,"HALLASCHKA, F.I.C., PRAGUE"
266,1820,1820,1,"NICOLAI, F., MANNHEIM"
267,1820,1820,1,"ZACH, F.X., GOTHA"
268,1820,1820,1,"LUTHMER, HANNOVER"
269,1820,1847,4,"GERLING, C.L., MARBURG"
270,1820,1820,1,"VAN SWINDEN, AMSTERDAM"
271,1821,1821,1,"STRUVE, F.G.W., DORPAT"
272,1821,1822,24,"ARGELANDER, BONN"
273,1822,1830,923,"ARAGO, F.D., PARIS"
274,1822,1837,122,"HERSCHEL, J., LONDON"
275,1823,1823,9,"LORENZ, WITTENBURG"
276,1823,1824,16,"BIELA, J., PRAGUE"
277,1825,1830,364,"SCHWARZENBRUNNER, KREMS."
278,1825,1826,183,"VON BOTH, G., BRESLAU"
279,1825,1867,12414,"SCHWABE, H., DESSAU"
280,1826,1837,1207,"HUSSEY, T.J., ENGLAND"
281,1826,1826,1,"BEAUFOY, G., BUSHEY HEATH"
282,1831,1832,200,"LAWSON, H., HEREFORD"
283,1832,1832,39,"RUPRECHT, H., ZIEGENHAIN"
284,1832,1832,17,"BOGUSLAWSKI, P.H.L., BRESLAU"
285,1833,1836,101,"BOHM, J.G., WIEN"
286,1833,1833,1,"SMYTH, BEDFORD"
287,1835,1836,158,"KUNITOMO, OMI"
288,1837,1837,2,"HAILE, A.B., YALE"
289,1840,1840,1,"GALLE, J.G., BERLIN"
290,1840,1841,13,"PETERSEN, A.C., ALTONA"
291,1840,1840,1,"LOHSE, POTSDAM"
292,1841,1883,6970,"SCHMIDT, ATHENS"
293,1843,1843,1,"CALDECOTT, J., MAHE"
294,1844,1870,1308,"PETERS, C.H.F., CLINTON, NY"
295,1847,1866,5538,"SHEA, C., ENGLAND"
296,1847,1849,137,"BOND, W.C., HARVARD"
297,1847,1847,1,"SCHWEIZER, G., MOSCOW"
298,1848,1893,10026,"WOLF, R., ZURICH"
299,1850,1865,168,"GREISBACH, T.J., ENGLAND"
300,1850,1850,42,"SESTINI, GEORGETOWN"
301,1850,1850,2,"FLEISCHHAUER, J., LANGENSALZA"
302,1850,1850,6,"VON JAHN, LEIPZIG"
303,1851,1860,124,"AIRY, G.B., LONDON"
304,1851,1851,13,"POGSON, N., LONDON"
305,1852,1854,15,"TOMASCHEK, WIEN"
306,1852,1855,19,"BORCK, CASSEL"
307,1853,1860,1215,"CARRINGTON, LONDON"
308,1857,1858,16,"FLAGSTAFF OBS., MELBOURNE"
309,1857,1857,181,"ELLNER, BAMBERG"
310,1857,1872,99,"HEIS, MUNSTER"
311,1859,1883,6983,"WEBER, PECKELOH"
312,1859,1892,766,"HOWLETT, F., ENGLAND"
313,1859,1859,7,"BAXENDALL, J., MANCHESTER"
314,1860,1862,475,"COAST SURVEY, WASHINGTON"
315,1860,1863,275,"FRANZENAU, F., WIEN"
316,1861,1865,585,"JENZER, BERN"
317,1861,1862,138,"KLEIN, KOLN"
318,1861,1893,6281,"SPOERER, G., ANCLAM"
319,1862,1862,94,"BORNITZ, H., LICHTENBERG, BERLIN"
320,1863,1864,41,"WALDNER, ZURICH"
321,1864,1871,912,"MEYER, ZURICH"
322,1864,1866,451,"DE LA RUE, LONDON"
323,1866,1879,478,"FERRARI, ROME"
324,1867,1881,2611,"LEPPIG, LEIPZIG"
325,1867,1890,1623,"DAWSON, W.M., SPICELAND, IND"
326,1870,1872,10,"HARVARD COLLEGE OBS., MA"
327,1870,1879,2059,"BERNAERTS, G.L., ENGLAND"
328,1871,1900,7584,"TACCHINI, ROME"
329,1871,1877,1530,"SECCHI, ROME"
330,1872,1875,308,"BILLWILLER, ZURICH"
331,1872,1874,282,"SAWYER, E.F., CAMBRIDGEPORT"
332,1874,1976,37465,ROYAL GREENWICH OBSERVATORY
333,1874,1893,3598,MONCALIERI
334,1874,1875,107,"MAIN, RADCLIFFE OBS., OXFORD"
335,1876,1879,997,"BILLWILLER AND WOLFER, ZURICH"
336,1876,1882,1940,"AGUILAR, MADRID"
337,1877,1886,2383,MONTHLY WEATHER REVIEW
338,1880,1928,12536,"WOLFER, ZURICH"
339,1880,1892,3709,"RICCO, PALERMO"
340,1882,1882,88,"MIETHE, POTSDAM"
341,1882,1910,6240,"WINKLER, JENA"
342,1882,1887,1164,"JANESCH, LAIBACH"
343,1883,1896,3221,"MERINO, MADRID"
344,1884,1886,965,"KOKIDES, ATHENS"
345,1885,1905,3688,"KONKOLY, OGYALLA"
346,1886,1886,162,"VOGEL, POTSDAM"
347,1886,1935,4534,STONYHURST COLLEGE OBS.
348,1887,1887,51,"WILSING, POTSDAM"
349,1888,1892,1359,"SCHMOLL, PARIS"
350,1888,1899,2063,"HAVERFORD COLLEGE OBS., PA"
351,1888,1890,326,"YENDELL, P.S., BOSTON"
352,1889,1921,10860,"QUIMBY, PHILADELPHIA"
353,1889,1892,523,CARLETON COLLEGE OBSERVATORY
354,1889,1890,262,"FROST, E.B., DARTMOUTH"
355,1890,1891,258,SMITH OBSERVATORY
356,1890,1902,2964,"HADDEN, D.E., ALTA, IOWA"
357,1890,1890,9,"FURNISS, C., VASSAR"
358,1890,1925,2799,MOUNT HOLYOKE COLLEGE
359,1891,1895,1173,"SCHREIBER, KALOCSA"
360,1891,1891,282,"ZONA, PALERMO"
