STATION,INITIAL,FINAL,TOT.OBS,OBSERVER
593,1987,1987,45,"NEWTON, NETHERLANDS"
594,2005,2005,25,"JAVIER ALONSO SANTIAGO, SPAIN"
595,2006,2010,1027,"JEFFREY CARELS, BELGIUM"
596,1981,2010,8122,"KAWAGUCHI, JAPAN"
597,1950,2010,11250,"KANDILLI, TURKEY"
598,1992,1999,552,"KARJALI, BULGARIA"
599,1993,2008,3507,"KLADNO, CZECH REPUBLIC"
600,1981,1996,3250,"KOYAMA, JAPAN"
601,1997,2001,351,"OBSERVATORY ROKYCANY, CZECH REPUBLIC"
602,1981,2010,9069,"KISLOVODSK, RUSSIA"
603,2001,2001,19,"MIKHAIL L. KUZMIN, RUSSIA"
604,1981,1990,1968,"KIEV, U.R.S.S."
605,1984,1992,1625,"KAYEME, VENEZUELA"
606,1957,2010,12862,"KANZELHOHE TREFFEN, AUSTRIA"
607,1985,1994,2274,"LARGUIER, FRANCE"
608,1991,1993,201,"COSLOP LUIS, ARGENTINA"
609,1981,1983,140,"LEYMAN, BELGIUM"
610,1958,1988,4992,"LUFT 2, U.S.A."
611,1987,1988,62,"HOFFMAN, GERMANY"
612,1967,1987,3678,"LOOKS, CHILE"
613,2005,2010,909,"LIEVE MEEUS, BELGIUM"
614,1958,2010,15932,"LOCARNO, SWITZERLAND"
615,1983,2010,7466,"LEARMOUTH, AUSTRALIA"
616,1989,2010,4751,"LARISSA OBSERVATORY, GREECE"
617,1981,1998,2965,"LUNPING, REPUBLIC OF CHINA"
618,1971,1988,5103,"MANILA, PHILIPPINES"
619,1991,1992,22,"BRIL MARTIN, ARGENTINA"
620,1981,2010,8389,"MAC KENZIE, DOVER, UNITED-KINGDOM"
621,1978,1986,1036,"MADRID, SPAIN"
622,2008,2010,566,"MEADOWS PETER, U.K."
623,1999,2001,139,"MAURO OSCAR GALLO, ARGENTINA"
624,1991,1991,49,"MARAFUCHI, ARGENTINA"
625,1986,1990,319,"MICHAUX, BELGIUM"
626,1994,2010,3041,"MURMANSK, RUSSIA"
627,1994,2010,1805,"MILANO, ITALY"
628,1987,2004,2123,"MOJICA, COCHABAMBA, BOLIVIA"
629,2003,2010,1984,"ROBERTO DE MANZANO, ITALY"
630,1978,2010,8007,"MOCHIZUKI URAWA, SAITAMA, JAPAN"
631,1987,2010,2193,"MIRA GRIMBERGEN, BELGIUM"
632,1990,2008,856,"SMOLYAN, BULGARIA"
633,1950,2010,8301,"MITAKA, JAPAN"
634,1992,2010,1818,"JURI GAGARIN, EILENBURG, GERMANY"
635,2008,2008,20,"MEDWAY KEN, U.K."
636,1995,2002,494,"OBS. COPERNICUS, VARNA, BULGARIA"
637,1995,1995,41,"SOLARINO, ITALY"
638,2004,2005,88,"RAUL ROBERTO PODESTA, U.S.A."
639,1983,2010,5344,"NIJMEGEN, NETHERLANDS"
640,1985,2010,4037,"BARNES, AUCKLAND, NEW-ZEALAND"
641,1994,1994,33,"ROMA 2, ITALY"
642,1995,1996,178,"OBS. SOLAR BERNARD LYOT, BRAZIL"
643,1999,2002,117,"EDNILSON OLIVEIRA, BRAZIL"
644,2000,2000,10,"OBSERVAT. HECTOR OTTONELLO, ARGENTINA"
645,1987,1994,802,"O.M.A. AMERICANA, BRASIL"
646,1991,2010,4711,"ONDREJOV OBSERV., CZECH-REPUBLIC"
647,1983,1987,264,"ORION, MEXICO"
648,1982,1990,995,"OTERO, VENEZUELA"
649,1989,1992,436,"VLASIM, CZECH REPUBLIC"
650,1983,1997,3512,"PALEHUA, HAWAI"
651,1981,1986,1413,"PERRONI, BRAZIL"
652,1984,2010,5429,"PASTERNAK, BERLIN, GERMANY"
653,1992,1992,8,"PELLIZA, ARGENTINA"
654,1991,1997,691,"LORMONT, FRANCE"
655,1950,1999,5436,"POTSDAM, GERMANY"
656,1998,2010,1529,"OBSERVATORY PROSTEJOV, CZECH REPUBLIC"
657,1985,2003,4324,"PYONG YANG, KOREA"
658,1957,2010,10606,"QUEZON, PHILIPPINES"
659,1983,2003,5957,"RAMEY, PUERTO-RICO"
660,1986,1988,115,"BRAVO RICARDO, ARGENTINA"
661,2003,2010,88,"PASTERNAK LEER, GERMANY"
662,1990,1995,183,"ALGEMESI, VALENCIA, SPAIN"
663,2010,2010,41,"RIENKS, EASTERN OREGON, U.S.A."
664,2009,2010,128,"RUIZ JAVIER, SPAIN"
665,1986,1989,186,"FORS, SWEDEN"
666,1997,2001,424,"ROKYCANY - LUZICKA, CZECH REPUBLIC"
667,1950,2000,4213,"ROMA 3, ITALY"
668,2010,2010,172,"PAULO ROBERTO MOSER, BRAZIL"
669,1988,1997,2126,"RASSON MONS, BELGIUM"
670,1986,1989,950,"RODRIGUEZ, VENEZUELA"
671,1957,2005,3781,"SANTIAGO, CHILE"
672,1986,1995,365,"SIRACUSA II, LAPICHINO, ITALIA"
673,2007,2010,366,"SJOERD DUFOER, BELGIUM"
674,1995,1995,133,"SERGIO FABIANI, BOLIVIA"
675,1981,2010,5258,"SIGMA OCTANTE, COCHABAMBA, BOLIVIA"
676,2007,2007,6,"STUDENTS SAN HERMENEGILDO, SPAIN"
677,2008,2010,379,"SMITH MARLYN, U.K."
678,1986,1996,702,"SAN JOSE, BUENOS AIRES, ARGENTINA"
679,1950,2010,9200,"SKALNATE, SLOVAKIA"
680,1986,1986,29,"SALVADOR, SPAIN"
681,1967,2010,9400,"SAN MIGUEL, ARGENTINA"
682,1994,1994,70,"SALERNO, ITALIA"
683,1992,2010,5258,"SOBOTA, SLOVAKIA"
684,1990,1991,36,"CLOSSET, BELGIUM"
685,1981,2010,5477,"SAUDI ARABIA, JEDDAH"
686,1994,1996,542,"SIRACUSA GAROFOLO, ITALIA"
687,1986,1986,30,"SYMANSKI, POLAND"
688,1981,2010,7839,"SUZUKI, JAPAN"
689,1981,1990,2712,"TASHKENT, U.R.S.S."
690,1991,1991,24,"TRIPALDI ALFONSINA, ARGENTINA"
691,1994,1994,48,"TRENTO, ITALY"
692,2005,2010,219,"THOMAS TEAGUE, UNITED KINGDOM"
693,1981,2010,5898,"CENTRAL WEATHER BUREAU, REPUBLIC OF CHINA"
694,1984,1989,1358,"TANGJUNGSARI, INDONESIA"
695,2006,2007,50,"HUGO TRIGOSO, PERU"
696,1981,2005,3692,"TAIPEI 2, REPUBLIC OF CHINA"
697,1967,1993,2704,"TRIESTE, ITALY"
698,1991,2010,3079,"SPANINKS TILBURG, NETHERLANDS"
699,1986,1988,80,"THIELE, GERMANY"
700,1986,1998,2271,"TONY TANTI NAXXAR, MALTA"
701,1949,2010,13283,"UCCLE, BELGIUM"
702,1983,1986,594,"U.L.B., BELGIUM"
703,2007,2008,193,"ARILLE VIGNERON, BELGIUM"
704,1991,1991,5,"BARZETTA VICTOR, ARGENTINA"
705,1989,2003,1301,"SLIVEN, BULGARIA"
706,1986,2003,3732,"VENTURA MOSTA, MALTA"
707,1999,1999,18,"OBSERVATORY PLOVDIV, BULGARIA"
708,2010,2010,83,"VALCERESIO DE BISUSCHIO, ITALY"
709,2006,2010,154,"RUBEN VERBOVEN, BELGIUM"
710,1992,1996,151,"VASQUEZ RODRIGO, ARGENTINA"
711,1994,1994,79,"VARESE, ITALY"
712,1987,2004,3648,"WATUKOSEK OBSERVATORY, INDONESIA"
713,2006,2010,729,"MONTE MOR, BRAZIL"
714,2010,2010,181,"WILLIAM, M. WILSON,U.S.A."
715,1969,1977,2323,XE
716,1955,1977,4320,XG
717,1986,1994,587,"Y ALARCOS, VALENCIA, SPAIN"
718,2008,2009,109,"TANTI TONY, U.K."
719,1981,1997,3754,"YVERGNEAUX RONSE-RENAIX, BELGIUM"
720,1990,2010,2851,"ZAGORA, BULGARIA"
721,1993,1999,1138,"ZAMORA, SPAIN"
722,1992,1993,517,"ZURICH, SWITZERLAND"
723,1637,1637,17,"MARCGRAF, G., LEIDEN"
724,1640,1640,2,"STRAZYC, A., KRAKOW"
725,1672,1672,16,"BION, N., PARIS"
726,1736,1736,1,"BEVIS, J., LONDON"
727,1736,1736,1,"GRANDJEAN DE FOUCHY, BRETAGNE"
728,1737,1737,1,"CLERK, J., EDINBURG"
729,1737,1737,1,"MACLAURIN, C., EDINBURG"
730,1737,1737,1,"MASON, C., CAMBRIDGE"
731,1737,1737,2,GARIPUY
732,1738,1738,1,"ANONYMOUS, TOULOUSE"
733,1747,1747,17,"WARGENTIN, P., UPPSALA"
734,1793,1793,1,"HANH, F., BERLIN"
735,1795,1795,3,"SCHROETER, J., GOTTINGEN"
736,1947,2009,17726,"CRAGG, T., LOS ANGELES"
737,1708,1709,10,"BECKER, P., ROSTOCK"
738,1708,1708,1,"ANONYMOUS, BERLIN"
739,1793,1793,1,"ZENBEI, I., FUSHIMI "
740,1795,1797,10,"ARMAGH OBSERVATORY, NORTHERN IRELAND"
741,1929,1941,2636,"COIMBRA OBSERVATORY, PORTUGAL"
742,1777,1777,2,"DE ZUNIGA Y ONTIVEROS, F., MEXICO CITY"
743,1816,1817,25,"FISHER, J., MAINE"
744,1611,1611,2,"FABRICIUS, J., DORNUM, GERMANY"
745,1814,1816,44,"HALLASCHKA, F.I.C., PRAGUE"
