Year,G,S
1703,4.8,3.7
1704,NaN,NaN
1705,1.1,1.5
1706,NaN,NaN
1707,NaN,NaN
1708,0.6,1.4
1709,0.6,1.4
1710,NaN,NaN
1711,NaN,NaN
1712,NaN,NaN
1713,NaN,NaN
1714,NaN,NaN
1715,4,5.3
1716,8.5,4.5
1717,5.9,3.3
1718,8.5,5.1
