Date,G
1609.900374,0.042145594
1610.554172,1.812260536
1611.20797,3.796934866
1611.861768,6.53256705
1612.646326,8.275862069
1612.907846,9.107279693
1613.823163,9.777777778
1614.476961,9.24137931
1615.13076,7.632183908
1615.653798,6.53256705
1616.046077,5.486590038
1616.569116,4.30651341
1617.484433,2.590038314
1618.268991,1.436781609
1619.184309,0.712643678
1619.968867,0.283524904
1621.145704,0.095785441
1621.537983,1.007662835
1622.191781,2.750957854
1622.845579,5.567049808
1622.845579,5.567049808
1623.237858,7.095785441
1623.630137,8.114942529
1623.891656,8.83908046
1624.022416,9.187739464
1624.545455,9.563218391
1625.068493,8.75862069
1625.722291,7.310344828
1626.11457,6.183908046
1626.768369,4.279693487
1627.291407,3.153256705
1627.945205,2.08045977
1628.337484,1.356321839
1629.122042,0.685823755
1630.16812,0.203065134
1631.606476,0.042145594
1631.606476,0.042145594
1632.129514,1.731800766
1632.783313,3.314176245
1633.044832,5.084291188
1633.306351,5.674329502
1634.090909,6.022988506
1635.136986,5.513409962
1635.790785,4.574712644
1637.098381,2.777777778
1637.882939,1.624521073
1638.929016,0.793103448
1639.582814,0.444444444
1640.498132,0.176245211
1641.15193,0.068965517
1641.674969,0.739463602
1642.328767,1.570881226
1642.328767,1.570881226
1642.328767,1.570881226
1642.721046,2.482758621
1643.244085,3.555555556
1644.028643,4.816091954
1645.07472,5.245210728
1645.859278,4.842911877
1646.643836,4.14559387
1647.951432,2.509578544
1648.73599,1.356321839
1649.912827,0.524904215
1650.958904,0.176245211
1651.874222,0.068965517
1651.874222,0.068965517
1652.266501,0.578544061
1652.920299,1.436781609
1653.312578,2.32183908
1653.312578,2.32183908
1653.835616,3.287356322
1654.358655,4.14559387
1654.358655,4.14559387
1654.358655,4.14559387
1654.881694,4.601532567
1654.881694,4.601532567
1654.881694,4.601532567
1655.927771,3.904214559
1656.973848,2.831417625
1657.758406,1.892720307
1658.935243,0.873563218
1659.589041,0.498084291
1660.504359,0.203065134
1661.550436,0.042145594
1662.465753,0.042145594
1662.858032,0.444444444
1663.381071,1.061302682
1663.90411,1.75862069
1664.427148,2.24137931
1664.688667,2.509578544
1665.603985,2.750957854
1666.388543,2.482758621
1667.303861,1.83908046
1668.219178,1.195402299
1669.134496,0.605363985
1669.919054,0.283524904
1671.35741,0.042145594
1671.35741,0.042145594
1672.141968,0.417624521
1672.748691,1.168582375
1673.403141,1.865900383
1674.057592,2.295019157
1674.450262,2.536398467
1675.628272,2.750957854
1676.675393,2.455938697
1677.853403,1.865900383
1678.900524,1.222222222
1679.685864,0.685823755
1681.387435,0.229885057
1681.910995,0.793103448
1682.696335,1.67816092
1683.089005,2.32183908
1683.612565,2.831417625
1684.136126,3.260536398
1685.052356,3.528735632
1686.099476,3.180076628
1687.015707,2.536398467
1687.931937,1.75862069
1688.717277,1.195402299
1689.502618,0.712643678
1690.157068,0.417624521
1691.073298,0.203065134
1691.727749,0.632183908
1692.120419,1.141762452
1692.513089,1.731800766
1693.167539,2.214559387
1693.560209,2.536398467
1694.60733,2.750957854
1695.52356,2.482758621
1696.439791,1.812260536
1697.486911,1.195402299
1698.534031,0.578544061
1699.319372,0.283524904
1700.104712,0.149425287
1700.759162,0.042145594
1701.282723,0.578544061
1701.282723,0.578544061
1701.282723,0.578544061
1701.806283,1.409961686
1702.068063,2.214559387
1702.460733,3.072796935
1702.722513,3.931034483
1703.246073,4.789272031
1703.769634,5.540229885
1704.685864,6.022988506
1705.732984,5.459770115
1706.518325,4.252873563
1707.172775,3.448275862
1707.827225,2.402298851
1708.612565,1.651340996
1708.612565,1.651340996
1709.528796,0.793103448
1710.445026,0.337164751
1711.492147,0.122605364
1712.931937,0.01532567
1713.324607,0.846743295
1713.717277,1.597701149
1714.109948,2.32183908
1714.371728,3.260536398
1714.633508,4.38697318
1715.026178,5.808429119
1715.811518,7.873563218
1716.335079,9
1717.382199,9.724137931
1718.298429,9.107279693
1718.691099,8.785440613
1719.47644,7.363984674
1720,6.103448276
1720.52356,5.137931034
1721.439791,3.582375479
1722.225131,2.429118774
1723.141361,1.302681992
1724.319372,0.551724138
1725.497382,0.149425287
1726.937173,0
